section_id,section_name,section_text,char_count,present,report_id
13,operations,"Start
Start
time
time
End
End
time
time
End
End
Depth
Depth
mMD
mMD
Main - Sub
Main - Sub
Activity
Activity
State
State
Remark
Remark
00:30
06:00
500
drilling -- trip
ok
MU BAKER WINDOWMASTER WHIPSTOCK + MILLING ASSEMBLY & ASSOCIATED BHA. CONTINUE TIH WITH DP.
06:00
10:00
2211
drilling -- trip
ok
CONTINUED TIH WITH WINDOWMASTER WHIPSTOCK & MILLING ASSEMBLY. TAGGED 9 5/8"" BRIDGE-PLUG AT 2211 M DPM.
10:00
12:00
2211
drilling -- drill
ok
ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.
12:00
18:00
2207
drilling -- drill
ok
CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2202 M MD - BOTTOM OF WINDOW = 2207 M MD. PUMPED 5 M3 HI-VIS PILL WHILE MILLING
AT 2205 M.
18:00
21:00
2213
drilling -- drill
ok
DRILLED/MILLED NEW FORMATION FROM 2207 - 2213 M. PUMPED 5 M3 HI-VIS PILL WHILE DRILLING AT 2208 M.
21:00
23:00
2213
drilling -- drill
ok
REAMED WINDOW. AFTER APPROXIMATELY 20 TIMES, STILL UNABLE TO GO DOWN THROUGH WINDOW WITHOUT ROTATING - BASED ON USING MAXIMUM OF 12 M
T WEIGHT. REAMED 5 ADDITIONAL TIMES - NOW ABLE TO SLACK-OFF & PICK-UP THROUGH WINDOW WITHOUT HAVING TO ROTATE STRING.
23:00
00:00
2196
drilling -- circulat
ing conditioning
ok
PUMPED 10 M3 HI-VIS PILL & CIRCULATED HOLE CLEAN AT 2000 LPM.",1243,True,3
14,equipment_failure,,0,False,3
15,drilling_fluid,"Sample Time
00:00
06:00
Sample Point
Active pit
Active pit
Sample Depth mMD
2310
2310
Fluid Type
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
Funnel Visc (s)
-999.99
-999.99
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
41
41
Yield point (Pa)
10
10
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",579,True,3
16,summary_activities_24h,"TIH WITH DRILLING BHA TO 9 5/8"" WINDOW. CORRECTED PROBLEM W/YELLOW POD
&FUNCTION TESTED BOPS. ATTEMPTED TO DRILL-GOT STUCK & FREED STRING.
UNABLE TO PASS BACK THROUGH WINDOW. POOH & PU MILLING BHA.",230,True,4
17,summary_planned_24h,"MILL THROUGH 9 5/8"" WINDOW AGAIN. TRIP FOR DRILLING BHA.",97,True,4
18,operations,"Start
Start
time
time
End
End
time
time
End
End
Depth
Depth
mMD
mMD
Main - Sub
Main - Sub
Activity
Activity
State
State
Remark
Remark
00:00
00:30
2196
drilling -- cir
culating con
ditioning
ok
COMPLETED CIRCULATING HOLE CLEAN. FLUSHED CHOKE & KILL LINES.
00:30
03:00
1110
drilling -- trip
ok
FLOW CHECKED, PUMPED SLUG & POOH TO PU DRILLING BHA.
03:00
04:00
1110
interruption
-- maintain
fail
BURST HYDRAULIC HOSE ON UPPER RACKING ARM - REPAIRED SAME.
04:00
06:00
0
drilling -- trip
ok
CONTINUED TO POOH WITH MILLING ASSEMBLY.
06:00
06:30
0
drilling -- trip
ok
COMPLETED LD MILLING ASSEMBLY.
06:30
09:00
173
drilling -- trip
ok
MU DRILLING BHA; MOTOR TESTED OK.
09:00
10:00
800
drilling -- trip
ok
TIH WITH BHA TO 800 M.
10:00
10:30
800
interruption
-- maintain
fail
ATTEMPTED TO PERFORM WEEKLY BOP FUNCTION TEST USING YELLOW POD. NO FUNCTION OF EITHER ANNULAR POSSIBLE.
10:30
13:00
2193
drilling -- trip
ok
CONTINUED TO TIH TO 2193 M WHILE PULLING YELLOW POD.
13:00
17:00
2193
interruption
-- maintain
fail
FOUND CRIMPED PILOT LINE IN POD HOSE. CHANGED PILOT LINE FOR ANNULARS' REGULATOR. RERAN YELLOW POD & LATCHED-UP.
17:00
17:30
2193
drilling -- bo
p activities
ok
FUNCTION TESTED BOPS USING YELLOW POD - FROM RIG FLOOR PANEL.
17:30
18:30
2213
interruption
-- fish
fail
ORIENTED BIT/MOTOR & SLACKED-OFF THROUGH WINDOW.REAMED F/2208-2212M. STARTED DRILLING-SPP INCREASED 35BAR&TDS STALLED Ø16300NM.FREED STUCK
STRING USING 32 MT O/PULL-TORQUE STILL TRAPPED IN STRING.WHILE PULLING PAST 2207M W/BIT,SPP INCREASED AGAIN.FREED BIT PAST 2207M USING 55 MT O/PUL
L.THEN ABLE TO RELEASE TORQUE IN STRING ONCE ABOVE 2202M.
18:30
19:30
2202
drilling -- dril
l
fail
ATTEMPTED SEVERAL TIMES TO PASS THROUGH WINDOW - UNABLE TO GO BELOW 2202 M - TOP OF WINDOW IN 9 5/8"" CASING.
19:30
00:00
0
drilling -- trip
fail
FLOW CHECKED, PUMPED SLUG & POOH WITH DRILLING BHA. BIT WAS DAMAGED - 6 OUT OF 9 BLADES ON BIT WERE DAMAGED/BROKEN. NO OTHER DAMAGE TO BHA
COMPONENTS NOTED.",1976,True,4
19,equipment_failure,,0,False,4
20,drilling_fluid,"Sample Time
00:00
06:00
Sample Point
Active pit
Active pit
Sample Depth mMD
2213
2213
Fluid Type
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
Funnel Visc (s)
117
117
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
49
49
Yield point (Pa)
12
12
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",571,True,4
21,summary_activities_24h,"TRIED TO MILL THROUGH 9 5/8"" WINDOW-UNSUCCESSFUL.POOH WITH MILLING BHA
& TIH WITH 9 5/8"" BRIDGE-PLUG. SET SAME AT 2187M. POOH & MU 2ND BAKER
WINDOWMASTER WHIPSTOCK.",197,True,5
22,summary_planned_24h,"SET 2ND WINDOWMASTER WHIPSTOCK & MILL WINDOW IN 9 5/8"" CASING.",103,True,5
23,operations,"Start time
Start time
End time
End time
End Depth mMD
End Depth mMD
Main - Sub Activity
Main - Sub Activity
State
State
Remark
Remark
00:00
06:00
2202
drilling -- trip
ok
MU MILLING BHA & TIH TO WHIPSTOCK.
06:00
09:00
2205
drilling -- drill
fail
MILLED FROM 2202-2205 M. DECREASE IN ROP - NOT MAKING ANY PROGRESS IN MILLING THROUGH WINDOW.
09:00
13:30
0
drilling -- trip
fail
FLOWCHECKED, PUMPED SLUG & POOH WITH MILLING BHA.
13:30
18:30
2187
drilling -- trip
ok
TIH TO 2187 M WITH 9 5/8"" BRIDGE PLUG ON DP.
18:30
19:30
2187
drilling -- other
ok
SET BRIDGE PLUG AT 2187 M L.A.T. CONFIRMED SETTING BY SLACKING-OFF 10 MT DOWN ON PLUG.
19:30
20:30
2187
drilling -- circulating
conditioning
ok
PUMPED 10 M3 HI-VIS PILL & CIRCULATED OUT.
20:30
00:00
0
drilling -- trip
ok
FLOWCHECKED, PUMPED SLUG & POOH WITH EZSV M.S.T.",826,True,5
24,equipment_failure,,0,False,5
25,drilling_fluid,"Sample Time
00:00
06:00
Sample Point
Active pit
Active pit
Sample Depth mMD
2213
2213
Fluid Type
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
Funnel Visc (s)
143
143
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
46
46
Yield point (Pa)
14
14
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",571,True,5
26,summary_activities_24h,"SET 2ND WHIPSTOCK & MILLED WINDOW FROM 2178-2183 M. DRILLED 19 M
FORMATION. CIRCULATED HOLE CLEAN & POOH TO MU DRILLING BHA.",157,True,6
27,summary_planned_24h,START SIDETRACKING HOLE OUT OF 2ND WINDOW.,83,True,6
28,operations,"Start
Start
time
time
End
End
time
time
End Depth
End Depth
mMD
mMD
Main - Sub
Main - Sub
Activity
Activity
State
State
Remark
Remark
00:00
06:00
600
drilling -- trip
ok
MU BAKER WINDOWMASTER WHIPSTOCK ASSEMBLY. TIH WITH BHA ON DP.
06:00
10:00
2170
drilling -- trip
ok
COMPLETED TIH WITH WHIPSTOCK TO 2170 M.
10:00
11:00
2170
interruption -- sidetra
ck
fail
ATTEMPTED TO CIRCULATE; STRING PLUGGED. RU & REVERSE CIRCULATED 1 DRILLSTRING VOLUME & UNPLUGGED STRING.
11:00
12:30
2187
interruption -- sidetra
ck
ok
ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.
12:30
21:00
2183
interruption -- sidetra
ck
ok
CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2178 M; BOTTOM OF WINDOW = 2183 M. FLOW RATE = APPROX. 1000 L
PM AT 74 BAR.
21:00
00:00
2198
interruption -- sidetra
ck
ok
DRILLED/MILLED NEW FORMATION FROM 2183 - 2198M. FLOW RATE = 1500 LPM AT 125 BAR.",887,True,6
29,equipment_failure,,0,False,6
30,drilling_fluid,"Sample Time
00:00
06:00
Sample Point
Active pit
Active pit
Sample Depth mMD
2187
2187
Fluid Type
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
Funnel Visc (s)
143
143
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
50
50
Yield point (Pa)
14
14
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",571,True,6
31,summary_activities_24h,"FINISHED HANDLING MILLING BHA. MU & TIH WITH DRILLING BHA TO TD.
DRILLED FROM 2202 - 2405 M. SLIDING AS DIRECTIONAL PROGRAM REQUIRED
TO DROP ANGLE & TURN HOLE TOWARD OBJECTIVE.",209,True,7
32,summary_planned_24h,"CONTINUE DRILLING 8 1/2"" HOLE.",71,True,7
33,operations,"Start
Start
time
time
End
End
time
time
End Depth
End Depth
mMD
mMD
Main - Sub Activity
Main - Sub Activity
State
State
Remark
Remark
00:00
01:00
2202
interruption -- sidetrack
ok
FINISHED DRILLING TO 2202 M - TOTAL OF 19 M OF FORMATION DRILLED BEYOND WINDOW'S BOTTOM. PU & SO THROUGH WINDOW 5 TIMES - N
O PROBLEMS.
01:00
02:30
2175
drilling -- circulating cond
itioning
ok
PU ABOVE TOP OF WINDOW & PUMPED 5 M3 HI-VIS PILL. CIRCULATED HOLE CLEAN AT 2000 LPM AT 195 BAR. FLUSHED CHOKE & KILL LINES & B
OOSTED RISER.
02:30
06:00
100
drilling -- trip
ok
POOH TO MU DRILLING BHA.
06:00
07:00
0
drilling -- trip
ok
FINISHED HANDLING WHIPSTOCK/MILLING BHA.
07:00
10:30
430
drilling -- trip
ok
MU DRILLING BHA & TIH TO 430 M WITH NEW 8 1/2"" PDC BIT.
10:30
11:30
430
drilling -- other
ok
S/C DRILLINE.
11:30
12:30
430
interruption -- maintain
fail
ELECTRICAL PROBLEM WITH TOP DRIVE SYSTEM; REPAIRED SAME.
12:30
16:30
2161
drilling -- trip
ok
CONTINUED TO TIH TO 2161 M.
16:30
17:00
2161
drilling -- trip
ok
ORIENTED TOOL-FACE.
17:00
17:30
2190
drilling -- trip
ok
RIH SLOWLY-NO ROTATION OR CIRCULATION-FROM 2161 - 2190 M. WINDOW IN CASING FROM 2178 - 2183 M. MADE CHECK TRIP TO 2175 M; NO P
ROBLEMS PASSING THROUGH WINDOW.
17:30
18:00
2202
drilling -- trip
ok
BROKE CIRCULATION. WASHED DOWN FROM 2190 - 2202 M / TD.
18:00
00:00
2311
drilling -- drill
ok
DRILLED/ORIENTED 8 1/2"" HOLE FROM 2202 - 2311 M.",1405,True,7
34,equipment_failure,,0,False,7
35,drilling_fluid,"Sample Time
00:00
06:00
Sample Point
Flowline
Flowline
Sample Depth mMD
2192
2192
Fluid Type
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
Funnel Visc (s)
147
147
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
51
51
Yield point (Pa)
15.5
15.5
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",571,True,7
36,summary_activities_24h,"DIRECTIONALLY DRILL 8 1/2"" HOLE FROM 2405 - 2768 M. PROBLEMS WITH
ACHIEVING DESIRED AZIMUTH/TURN.",130,True,8
37,summary_planned_24h,"CONTINUE DRILLING 8 1/2"" HOLE.",71,True,8
38,operations,"Start time
Start time
End time
End time
End Depth mMD
End Depth mMD
Main - Sub Activity
Main - Sub Activity
State
State
Remark
Remark
00:00
06:00
2405
drilling -- drill
ok
DRILLED/ORIENTED 8 1/2"" HOLE FROM 2311 - 2405 M
.
06:00
19:00
2653
drilling -- drill
ok
DRILLED/ORIENTED 8 1/2"" HOLE FROM 2405-2653 M.
19:00
20:00
2653
drilling -- circulating
conditioning
ok
CIRCULATED TO CLEAN HOLE.
20:00
00:00
2711
drilling -- drill
ok
DRILLED/ORIENTED 8 1/2"" HOLE FROM 2653 - 2711 M
.",488,True,8
39,equipment_failure,,0,False,8
40,drilling_fluid,"Sample Time
00:00
06:00
Sample Point
Flowline
Flowline
Sample Depth mMD
2314
2314
Fluid Type
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
Funnel Visc (s)
75
75
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
38
38
Yield point (Pa)
13
13
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",565,True,8
41,summary_activities_24h,"CIRCULATED HOLE CLEAN. POOH & SET MOTOR AT 1,5 DEGREES + PU INSERT
BIT. TIH TO DRILL AHEAD-TO TURN HOLE TO RIGHT. RAN GYRO SURVEY INSIDE
DRILLSTRING. STARTED DRILLING 8 1/2"" HOLE.",212,True,9
42,summary_planned_24h,"CONTINUE DIRECTIONALLY DRILLING 8 1/2"" HOLE. POOH WHEN DIRECTIONAL
PROGRESS IS SATISFACTORY/WHEN MAXIMUM TOTAL BIT REVS ARE REACHED.",173,True,9
43,operations,"Start
Start
time
time
End
End
time
time
End
End
Depth
Depth
mMD
mMD
Main - Sub
Main - Sub
Activity
Activity
State
State
Remark
Remark
00:00
06:00
2768
drilling -- drill
ok
DRILLED/ORIENTED 8 1/2"" HOLE FROM 2711 - 2768 M. HAD PROBLEMS TURNING WELLPATH TO THE RIGHT.
06:00
07:00
2768
drilling -- circulating
conditioning
ok
CIRCULATED HOLE CLEAN IN PREPARATION FOR TRIP OUT.
07:00
15:30
0
drilling -- trip
ok
POOH FOR BHA CHANGE DUE TO DIRECTIONAL PROBLEM - NOT ENOUGH TURN TO RIGHT IN AZIMUTH. NOTE-NO PROBLEM IN TOH THROUGH 9 5/8"" CASIN
G WINDOW. UNABLE TO DOWNLOAD MEMORY FROM MWD AFTER TRYING FOR 1 HOUR.
15:30
21:30
2768
drilling -- trip
ok
INCREASED AKO MOTOR FROM 1,2 DEGREES TO 1,5 DEGREES & MU INSERT BIT FOR DIRECTIONAL REASON/CONTROL. TIH TO 2768 M -TD. NOTE-TOOK 5 M
T WEIGHT TO PASS THROUGH WINDOW WITH MOTOR/BIT.
21:30
23:00
2768
drilling -- circulating
conditioning
ok
CIRCULATED HOLE CLEAN IN PREPARATION FOR RUNNING GYRO SURVEY INSIDE OF DRILLSTRING. (CIRCULATION RATE = 2500 LPM AT 290 BAR.) NOTE: PR
EPARED/RU TO RUN GYRO WHILE CIRCULATING.
23:00
00:00
2768
drilling -- survey
ok
CONTINUED CIRCULATING WHILE RU TO RUN GYRO.",1151,True,9
44,equipment_failure,,0,False,9
45,drilling_fluid,"Sample Time
00:00
06:00
17:00
Sample Point
Flowline
Flowline
Flowline
Sample Depth mMD
2684
2684
2768
Fluid Type
ULTIDRILL
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
1.5
Funnel Visc (s)
64
64
65
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
41
41
41
Yield point (Pa)
12.5
12.5
12.5
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",614,True,9
46,summary_activities_24h,"DRILLED 8 1/2"" HOLE FROM 2771-2783 M; NOT MAKING PROGRESS. POOH FOR
BIT/BHA CHANGE - GOT STUCK WHILE PREPARING TO PULL THROUGH WINDOW.
FIGHT LOST RETURNS/TIGHT HOLE. SUCCESSFUL IN PULLING THROUGH WINDOW.
FINISHED POOH. TEST BOPS.",262,True,10
47,summary_planned_24h,"MAKE WIPER/CHECK TRIP TO TD WITH SLICK BHA TO DETERMINE HOLE'S
CONDITION. NOTE:WILL FINISH TESTING SURFACE EQUIPMENT BEFORE ENTERING
OPEN HOLE.",184,True,10
48,operations,"Start
Start
time
time
End
End
time
time
End
End
Depth
Depth
mMD
mMD
Main -
Main -
Sub
Sub
Activity
Activity
State
State
Remark
Remark
00:00
00:30
2768
drilling --
survey
ok
CONTINUED CIRCULATING WHILE RU TO RUN GYRO.
00:30
05:30
2768
drilling --
survey
ok
MU SIDE-ENTRY SUB INTO DRILLSTRING & RIH WITH GYRO ON ATLAS E/LINE. BIT 1 JOINT OFF BOTTOM DURING SURVEY. RAN GYRO FROM 1880 TO 2710 M. POOH WITH GY
RO & RD SIDE-ENTRY SUB.
05:30
06:00
2771
drilling --
drill
ok
DRILLED FROM 2768 - 2771 M / SLIDING.
06:00
13:30
2783
drilling --
drill
ok
DRILLED FROM 2771-2783 M. DECREASE IN ROP - TOOK APPROX. 2,5 HRS. TO DRILL LAST METER.
13:30
15:00
2190
drilling --
trip
ok
FLOW CHECKED & PUMPED SLUG. POOH TO 2190 M WITH NO PROBLEMS.
15:00
16:00
2190
drilling --
drill
fail
CIRCULATED W/2500LPM & ORIENTED TOOLFACE PRIOR TO PULLING THROUGH CSG. WINDOW. HOLE PACKED-OFF & STRING TORQUED-UP & LOST CIRC-STRING STUCK 2
MIN. WORKED STRING FREE BY GOING DOWNWARDS;MAX WEIGHT SLACKED-OFF=40 MT. ESTABLISHED CIRCULATION AT 600 LPM.
16:00
19:30
2199
drilling --
drill
fail
WORKED STRING DOWN TO 2199 M BIT DEPTH - 16 M BELOW WINDOW'S BOTTOM. HOLE PACKED-OFF;LOST CIRCULATION SEVERAL TIMES. ATTEMPTED TO ESTABLISH CI
RCULATION - IN STEPS - AT DIFFERENT FLOW RATES WHILE ROTATING AT 80- 120 RPM / PROBLEMS =PACKING-OFF,LOST CIRCULATION, TORQUING-UP OF DRILLSTRING. T
ORQUE WOULD INCREASE & THEN RETURNS WOULD BE LOST.
19:30
20:30
2167
drilling --
drill
fail
FINALLY ESTABLISHED CIRCULATION WITH FULL RETURNS AT 1860 LPM/164 BAR. STARTED MOVING UPWARDS TOWARD WINDOW-STOPPED AT 2188 M. ORIENTED TOOL- F
ACE & THEN FLOW CHECKED. STARTED PULLING UP WHILE PUMPING AT 450 LPM- LOSING CIRCULATION AGAIN. STOPPED PUMPING & CONTINUED POOH-PULLED THROUG
H WINDOW WITH NO ROTATING/PUMPING WITH MAXIMUM DRAG = 5 MT.
20:30
00:00
540
drilling --
trip
ok
AT 2167 M - FLOW CHECKED FOR 15 MINUTES; HOLE STATIC. FLUSHED CHOKE & KILL LINES & BOOSTED RISER CLEAN. CONTINUED TO POOH WITH BHA.",1978,True,10
49,equipment_failure,,0,False,10
50,drilling_fluid,"Sample Time
13:45
22:00
Sample Point
Flowline
Flowline
Sample Depth mMD
2783
2783
Fluid Type
ULTIDRILL
ULTIDRILL
Fluid Density (g/cm3)
1.5
1.5
Funnel Visc (s)
70
72
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
38
39
Yield point (Pa)
13
13.5
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",567,True,10
51,summary_activities_24h,"TIH TO TD TO DETERMINE HOLE'S CONDITION. CAVINGS TO SURFACE AFTER BU.
INCREASE MUD WT. TO 1,54 SG. POOH FOR DRILLING BHA.",154,True,11
52,summary_planned_24h,"TIH & DIRECTIONALLY DRILL 8 1/2"" HOLE.",79,True,11
53,operations,"Start
Start
time
time
End
End
time
time
End
End
Depth
Depth
mMD
mMD
Main - Sub
Main - Sub
Activity
Activity
State
State
Remark
Remark
00:00
01:30
0
drilling -- trip
ok
COMPLETED POOH.INSERT BIT WAS CORED-OUT.
01:30
06:00
106
drilling -- bop activi
ties
ok
RAN BOP TEST TOOL TO WELLHEAD.TESTED PIPE RAMS & FAIL SAFE VALVES TO 20/345 BAR; TESTED BOTH ANNULARS TO 20/241 BAR. TESTED ON YELLOW
POD. FUNCTION TESTED ON BLUE POD - FROM SUBSEA CONTROL ROOM.
06:00
06:30
0
drilling -- bop activi
ties
ok
COMPLETED POOH WITH BOP TEST TOOL.
06:30
09:00
752
drilling -- trip
ok
MU SLICK BHA FOR CHECK TRIP & TIH TO 752 M.
09:00
11:00
752
drilling -- bop activi
ties
ok
TESTED 2-TDS SAFETY VALVES & 1-KELLY COCK TO 35/345 BAR -5/10 MINUTES.
11:00
14:00
2081
drilling -- trip
ok
CONTINUED TO TIH TO 2081 M.
14:00
15:30
2183
drilling -- trip
ok
ESTABLISHED CIRC AT 2500 LPM.WASHED DOWN TO CASING WINDOW. RAN THROUGH WINDOW & PU THROUGH WINDOW WITHOUT PUMPING - NO PROBLEM
S. CIRCULATED AT 1500 LPM & ROTATED AT 50 RPM & RAN THROUGH WINDOW - NO PROBLEM.
15:30
16:30
2207
drilling -- ream
ok
CONTINUED TIH; TOOK WEIGHT AT 2207 M. REAMED FROM 2207 - 2245 M; TIGHT HOLE FROM 2207 - 2226 M. HAD TENDENCY OF PACKING-OFF. 16300 NM= MA
XIMUM TORQUE EXPERIENCED.
16:30
18:30
2783
drilling -- trip
ok
CONTINUED TIH; WASHED DOWN LAST 38 M TO TD - 2783 M. 0,5 M OF FILL ON BOTTOM.
18:30
20:00
2783
drilling -- circulatin
g conditioning
ok
CIRCULATED AT 2500 LPM - 204 BAR - TO CLEAN HOLE. WORKED BIT ON BOTTOM BECAUSE OF PREVIOUS BIT'S CONDITION. EXCESSIVE AMOUNT OF CUTTIN
GS BACK DURING CIRCULATION; AFTER BOTTOMS UP, CAVINGS STARTED TO RETURN TO SURFACE.
20:00
22:30
2783
drilling -- circulatin
g conditioning
ok
INCREASED MUD WEIGHT FROM 1,50 SG TO 1,54 SG WHILE CIRCULATING AT 2200 LPM. AFTER 1,54 MUD AROUND, INCREASED FLOW RATE TO 2500 LPM - 210
BAR - WITH NO LOSSES.
22:30
00:00
2231
drilling -- trip
ok
FLOW CHECKED, PUMPED SLUG & POOH TO MU DRILLING BHA.",1953,True,11
54,equipment_failure,,0,False,11
55,drilling_fluid,"Sample Time
22:00
Sample Point
Flowline
Sample Depth mMD
2783
Fluid Type
ULTIDRILL
Fluid Density (g/cm3)
1.54
Funnel Visc (s)
79
Mf ()
Pm ()
Pm filtrate ()
Chloride ()
Calcium ()
Magnesium ()
Ph
Excess Lime ()
Solids
Sand ()
Water ()
Oil ()
Solids ()
Corrected solids ()
High gravity solids ()
Low gravity solids ()
Viscometer tests
Plastic visc. (mPa.s)
42
Yield point (Pa)
12.5
Filtration tests
Pm filtrate ()
Filtrate Lthp ()
Filtrate Hthp ()
Cake thickn API ()
Cake thickn HPHT ()
Test Temp HPHT ()
Comment",525,True,11
56,summary_activities_24h,"RIH. DRILLED AND ORIENTED 8 1/2"" HOLE FROM 2783 - 3052 M.",90,True,12
57,summary_planned_24h,TRIP FOR BIT AND BHA CHANGE.,69,True,12
